id,name,status,description,originalPrice,price,shippingPayerName,itemCategoryNameLevel0,itemCategoryNameLevel1,itemCategoryNameLevel2,photoLarge1,photoThumbnail1,photoLarge2,photoThumbnail2,brandName,itemSizeName,itemConditionName,categoryTitle,categoryId
m30885271999,Pokemon Alpha Sapphire for Nintendo 3DS,trading,Pokémon Alpha Sapphire  Nintendo 3DS  New never opened    Message for bundles,4800,4200,Buyer,Electronics,Video games & consoles,Games,https://u-mercari-images.mercdn.net/photos/m30885271999_1.jpg?1665118260,https://u-mercari-images.mercdn.net/photos/m30885271999_1.jpg?1665118260&w=200&h=200&fitcrop&sharpen,https://u-mercari-images.mercdn.net/photos/m30885271999_2.jpg?1665118260000,https://u-mercari-images.mercdn.net/photos/m30885271999_2.jpg?1665118260000&w=200&h=200&fitcrop&sharpen,Nintendo,,New,Games,796
m19623726178,Shonen Jump Magna Magazine #101 May 2011 Volume 9 Issue 5,trading,"Shonen Jump Magna Magazine #101 May 2011 Volume 9 Issue 5  Condition: Pre-Owned Good   : We consider offers on some items.   If you want to make an offer, actually make one.    We do NOT respond to offers made via message or questions similar to ""what is your lowest price"".",900,900,Seller,Books,Magazines,Other Magazines,https://u-mercari-images.mercdn.net/photos/m19623726178_1.jpg?1668347083,https://u-mercari-images.mercdn.net/photos/m19623726178_1.jpg?1668347083&w=200&h=200&fitcrop&sharpen,https://u-mercari-images.mercdn.net/photos/m19623726178_2.jpg?1668347083000,https://u-mercari-images.mercdn.net/photos/m19623726178_2.jpg?1668347083000&w=200&h=200&fitcrop&sharpen,Viz Media,,Good,Other Magazines,1498
m68492755303,New Benefit Gimme Brow 4 FULL SIZE NEW,trading,Benefit gimme brow + shade 4 full size  Brand new never used or swatched.  Let's make a high end beauty bundle with makeup and skincare products for you to try and sample from sephora and ulta.      FAST SHIPPING,1500,1500,Buyer,Beauty,Makeup,Eyes,https://u-mercari-images.mercdn.net/photos/m68492755303_1.jpg?1661979894,https://u-mercari-images.mercdn.net/photos/m68492755303_1.jpg?1661979894&w=200&h=200&fitcrop&sharpen,https://u-mercari-images.mercdn.net/photos/m68492755303_2.jpg?1661979894000,https://u-mercari-images.mercdn.net/photos/m68492755303_2.jpg?1661979894000&w=200&h=200&fitcrop&sharpen,Benefit Cosmetics,,New,Eye Makeup,845
m50707190955,Shonen Jump Magna Magazine #102 June July 2011 Volume 9 Issue 6,trading,"Shonen Jump Magna Magazine #102 June July 2011 Volume 9 Issue 6  Condition: Pre-Owned Good   : We consider offers on some items.   If you want to make an offer, actually make one.    We do NOT respond to offers made via message or questions similar to ""what is your lowest price"".",700,700,Seller,Books,Magazines,Other Magazines,https://u-mercari-images.mercdn.net/photos/m50707190955_1.jpg?1668347335,https://u-mercari-images.mercdn.net/photos/m50707190955_1.jpg?1668347335&w=200&h=200&fitcrop&sharpen,https://u-mercari-images.mercdn.net/photos/m50707190955_2.jpg?1668347335000,https://u-mercari-images.mercdn.net/photos/m50707190955_2.jpg?1668347335000&w=200&h=200&fitcrop&sharpen,Viz Media,,Good,Other Magazines,1498
m11096415587,Juil The Cap Toe  Gray Leather Ballet,trading,Juil ballet flats  Size 9 Great condition  Couple of small  scuffs on left shoe.  Please see photos   S1,2900,1800,Buyer,Women,Shoes,Flats,https://u-mercari-images.mercdn.net/photos/m11096415587_1.jpg?1657583760,https://u-mercari-images.mercdn.net/photos/m11096415587_1.jpg?1657583760&w=200&h=200&fitcrop&sharpen,https://u-mercari-images.mercdn.net/photos/m11096415587_2.jpg?1657583760000,https://u-mercari-images.mercdn.net/photos/m11096415587_2.jpg?1657583760000&w=200&h=200&fitcrop&sharpen,,9 (39.5),Good,Flats,286
m89270386396,Metagross VMAX Full Art #113 from Chilling Reign in MINT Condition Pokémon Card,trading,Metagross VMAX Full Art #113 from Chilling Reign in MINT Condition Pokémon Card  (THIS CARD IS IN ENGLISH) Please see all of the pictures for this card!   I ship all of my cards with the best protection in mind to ensure that they arrive to my customers in the same condition they left in. My reviews are the proof to my word. THANK YOU!  (NOTE: I DON'T BUNDLE SLABS. I ONLY BUNDLE SINGLE CARDS. I ALSO DON'T BUNDLE COMIC BOOKS),400,300,Buyer,Toys & Collectibles,Trading Cards,Single Cards,https://u-mercari-images.mercdn.net/photos/m89270386396_1.jpg?1668810342,https://u-mercari-images.mercdn.net/photos/m89270386396_1.jpg?1668810342&w=200&h=200&fitcrop&sharpen,https://u-mercari-images.mercdn.net/photos/m89270386396_2.jpg?1668810342000,https://u-mercari-images.mercdn.net/photos/m89270386396_2.jpg?1668810342000&w=200&h=200&fitcrop&sharpen,Pokemon,,Like new,Single Cards,3509
m86501121396,13g for evey,trading,13 ghosts dvd for evey,200,200,Seller,Electronics,Media,DVD,https://u-mercari-images.mercdn.net/photos/m86501121396_1.jpg?1668961089,https://u-mercari-images.mercdn.net/photos/m86501121396_1.jpg?1668961089&w=200&h=200&fitcrop&sharpen,,,Lot,,Like new,DVD,815
m59372907001,Tiffany Elsa Peretti open heart earrings,trading,Great condition  Bought from Tiffany directly  No box or bag,22500,12000,Seller,Women,Jewelry,Earrings,https://u-mercari-images.mercdn.net/photos/m59372907001_1.jpg?1665936171,https://u-mercari-images.mercdn.net/photos/m59372907001_1.jpg?1665936171&w=200&h=200&fitcrop&sharpen,https://u-mercari-images.mercdn.net/photos/m59372907001_2.jpg?1665936171000,https://u-mercari-images.mercdn.net/photos/m59372907001_2.jpg?1665936171000&w=200&h=200&fitcrop&sharpen,Tiffany & Co.,,Good,Earrings,271
m38219281140,"Goosebumps (DVD, 2015) Jack Black NEW, SEALED",trading,"Great condition, sealed. Year: 2015 Movie: Goosebumps. Region 1 (USA).",300,300,Buyer,Electronics,Media,DVD,https://u-mercari-images.mercdn.net/photos/m38219281140_1.jpg?1661138659,https://u-mercari-images.mercdn.net/photos/m38219281140_1.jpg?1661138659&w=200&h=200&fitcrop&sharpen,https://u-mercari-images.mercdn.net/photos/m38219281140_2.jpg?1661138659000,https://u-mercari-images.mercdn.net/photos/m38219281140_2.jpg?1661138659000&w=200&h=200&fitcrop&sharpen,Columbia Pictures,,New,DVD,815
m19126935795,ZENITH TRANS OCEANIC A600 6A40 SHORTWAVE WAVE MAGNET RADIO UNTESTED,trading,"Vintage Zenith Trans Oceanic Wave Magnet Radio. This radio is untested. It has a very cool look and if you need parts or are into repairing tube radios thIs is for you. The case is a little scuffed upend the two knobs appear to be missing. It still has the original logs in the compartment on the flip up lid. Again this is for parts or repair, it has not been tested so I do not know if it works. Please examine all pictures closely for the exact condition.",7000,5600,Buyer,Vintage & collectibles,Electronics,Radio,https://u-mercari-images.mercdn.net/photos/m19126935795_1.jpg?1666659097,https://u-mercari-images.mercdn.net/photos/m19126935795_1.jpg?1666659097&w=200&h=200&fitcrop&sharpen,https://u-mercari-images.mercdn.net/photos/m19126935795_2.jpg?1666659097000,https://u-mercari-images.mercdn.net/photos/m19126935795_2.jpg?1666659097000&w=200&h=200&fitcrop&sharpen,Zenith,,Good,Vintage Radios,1055
m95715762886,Origami Owl Silver Chain,trading,Origami Owl Silver Chain Never Worn Excellent Condition  Smoke Free Home,1300,400,Buyer,Women,Jewelry,Necklaces,https://u-mercari-images.mercdn.net/photos/m95715762886_1.jpg?1667657424,https://u-mercari-images.mercdn.net/photos/m95715762886_1.jpg?1667657424&w=200&h=200&fitcrop&sharpen,https://u-mercari-images.mercdn.net/photos/m95715762886_2.jpg?1667657424000,https://u-mercari-images.mercdn.net/photos/m95715762886_2.jpg?1667657424000&w=200&h=200&fitcrop&sharpen,Origami Owl,,Like new,Necklaces,270
