id,slug,status,hasVideo,priceAmount,currencyName,nationalShippingCost,preview150,preview210,preview320,preview480,preview640,preview960,preview1280,variantSetId,variants,isLiked,brandId
325788071,reteothreadzz-care-bears-decorative-window-curtains,ONSALE,False,40.00,USD,0.00,https://media-photos.depop.com/b1/15773258/1396441276_10fcb95d88ed445b86b27d540b2d29ef/P2.jpg,https://media-photos.depop.com/b1/15773258/1396441276_10fcb95d88ed445b86b27d540b2d29ef/P4.jpg,https://media-photos.depop.com/b1/15773258/1396441276_10fcb95d88ed445b86b27d540b2d29ef/P5.jpg,https://media-photos.depop.com/b1/15773258/1396441276_10fcb95d88ed445b86b27d540b2d29ef/P6.jpg,https://media-photos.depop.com/b1/15773258/1396441276_10fcb95d88ed445b86b27d540b2d29ef/P1.jpg,https://media-photos.depop.com/b1/15773258/1396441276_10fcb95d88ed445b86b27d540b2d29ef/P7.jpg,https://media-photos.depop.com/b1/15773258/1396441276_10fcb95d88ed445b86b27d540b2d29ef/P8.jpg,N/A,{},False,12693
325630139,guccig11-vintage-90s-blue-bow-crewneck,ONSALE,False,20.00,USD,8.00,https://media-photos.depop.com/b1/8213773/1395836495_607e6de732244f5da57a0e87a25514d9/P2.jpg,https://media-photos.depop.com/b1/8213773/1395836495_607e6de732244f5da57a0e87a25514d9/P4.jpg,https://media-photos.depop.com/b1/8213773/1395836495_607e6de732244f5da57a0e87a25514d9/P5.jpg,https://media-photos.depop.com/b1/8213773/1395836495_607e6de732244f5da57a0e87a25514d9/P6.jpg,https://media-photos.depop.com/b1/8213773/1395836495_607e6de732244f5da57a0e87a25514d9/P1.jpg,https://media-photos.depop.com/b1/8213773/1395836495_607e6de732244f5da57a0e87a25514d9/P7.jpg,https://media-photos.depop.com/b1/8213773/1395836495_607e6de732244f5da57a0e87a25514d9/P8.jpg,54,{'5': 1},False,N/A
325619881,twistedgg-jungle-tracer-overwatch-christmas-ornament,ONSALE,False,21.00,USD,12.40,https://media-photos.depop.com/b1/27706860/1395808837_ad5fc7d36d2e4171af834b9dbe73e1ad/P2.jpg,https://media-photos.depop.com/b1/27706860/1395808837_ad5fc7d36d2e4171af834b9dbe73e1ad/P4.jpg,https://media-photos.depop.com/b1/27706860/1395808837_ad5fc7d36d2e4171af834b9dbe73e1ad/P5.jpg,https://media-photos.depop.com/b1/27706860/1395808837_ad5fc7d36d2e4171af834b9dbe73e1ad/P6.jpg,https://media-photos.depop.com/b1/27706860/1395808837_ad5fc7d36d2e4171af834b9dbe73e1ad/P1.jpg,https://media-photos.depop.com/b1/27706860/1395808837_ad5fc7d36d2e4171af834b9dbe73e1ad/P7.jpg,https://media-photos.depop.com/b1/27706860/1395808837_ad5fc7d36d2e4171af834b9dbe73e1ad/P8.jpg,N/A,{},False,719
325249071,northernandwild-september-song-boucle-sweater,ONSALE,False,40.00,USD,12.40,https://media-photos.depop.com/b1/35043890/1394379961_33271bf86a634aa2b4fff5041bbc2343/P2.jpg,https://media-photos.depop.com/b1/35043890/1394379961_33271bf86a634aa2b4fff5041bbc2343/P4.jpg,https://media-photos.depop.com/b1/35043890/1394379961_33271bf86a634aa2b4fff5041bbc2343/P5.jpg,https://media-photos.depop.com/b1/35043890/1394379961_33271bf86a634aa2b4fff5041bbc2343/P6.jpg,https://media-photos.depop.com/b1/35043890/1394379961_33271bf86a634aa2b4fff5041bbc2343/P1.jpg,https://media-photos.depop.com/b1/35043890/1394379961_33271bf86a634aa2b4fff5041bbc2343/P7.jpg,https://media-photos.depop.com/b1/35043890/1394379961_33271bf86a634aa2b4fff5041bbc2343/P8.jpg,4,{'16': 1},False,98
325234739,nataliemiami-tieks-leather-ballet-flats-in,ONSALE,False,120.00,USD,7.45,https://media-photos.depop.com/b1/35101707/1394323928_b043fc2359fa4650a25542585911974e/P2.jpg,https://media-photos.depop.com/b1/35101707/1394323928_b043fc2359fa4650a25542585911974e/P4.jpg,https://media-photos.depop.com/b1/35101707/1394323928_b043fc2359fa4650a25542585911974e/P5.jpg,https://media-photos.depop.com/b1/35101707/1394323928_b043fc2359fa4650a25542585911974e/P6.jpg,https://media-photos.depop.com/b1/35101707/1394323928_b043fc2359fa4650a25542585911974e/P1.jpg,https://media-photos.depop.com/b1/35101707/1394323928_b043fc2359fa4650a25542585911974e/P7.jpg,https://media-photos.depop.com/b1/35101707/1394323928_b043fc2359fa4650a25542585911974e/P8.jpg,46,{'6': 1},False,N/A
325164065,azsunset-90s-country-store-sweatshirt-vintage,ONSALE,False,35.00,USD,7.45,https://media-photos.depop.com/b1/33603725/1394054076_966453d505424f3792eb6bbc54240b29/P2.jpg,https://media-photos.depop.com/b1/33603725/1394054076_966453d505424f3792eb6bbc54240b29/P4.jpg,https://media-photos.depop.com/b1/33603725/1394054076_966453d505424f3792eb6bbc54240b29/P5.jpg,https://media-photos.depop.com/b1/33603725/1394054076_966453d505424f3792eb6bbc54240b29/P6.jpg,https://media-photos.depop.com/b1/33603725/1394054076_966453d505424f3792eb6bbc54240b29/P1.jpg,https://media-photos.depop.com/b1/33603725/1394054076_966453d505424f3792eb6bbc54240b29/P7.jpg,https://media-photos.depop.com/b1/33603725/1394054076_966453d505424f3792eb6bbc54240b29/P8.jpg,4,{'17': 1},False,N/A
324652793,orangeandrose-i-adore-this-super-pretty-2fab,ONSALE,False,99.00,USD,0.00,https://media-photos.depop.com/b1/27781397/1392108118_22e1dab284b0448593ab772de141a2b1/P2.jpg,https://media-photos.depop.com/b1/27781397/1392108118_22e1dab284b0448593ab772de141a2b1/P4.jpg,https://media-photos.depop.com/b1/27781397/1392108118_22e1dab284b0448593ab772de141a2b1/P5.jpg,https://media-photos.depop.com/b1/27781397/1392108118_22e1dab284b0448593ab772de141a2b1/P6.jpg,https://media-photos.depop.com/b1/27781397/1392108118_22e1dab284b0448593ab772de141a2b1/P1.jpg,https://media-photos.depop.com/b1/27781397/1392108118_22e1dab284b0448593ab772de141a2b1/P7.jpg,https://media-photos.depop.com/b1/27781397/1392108118_22e1dab284b0448593ab772de141a2b1/P8.jpg,84,{'16': 1},False,N/A
324165691,daynamarielove-corset-top-laces-up-in,ONSALE,False,30.00,USD,0.00,https://media-photos.depop.com/b1/4499144/1390242280_fabadfa24b4b4cd282e0d3642a564ac4/P2.jpg,https://media-photos.depop.com/b1/4499144/1390242280_fabadfa24b4b4cd282e0d3642a564ac4/P4.jpg,https://media-photos.depop.com/b1/4499144/1390242280_fabadfa24b4b4cd282e0d3642a564ac4/P5.jpg,https://media-photos.depop.com/b1/4499144/1390242280_fabadfa24b4b4cd282e0d3642a564ac4/P6.jpg,https://media-photos.depop.com/b1/4499144/1390242280_fabadfa24b4b4cd282e0d3642a564ac4/P1.jpg,https://media-photos.depop.com/b1/4499144/1390242280_fabadfa24b4b4cd282e0d3642a564ac4/P7.jpg,https://media-photos.depop.com/b1/4499144/1390242280_fabadfa24b4b4cd282e0d3642a564ac4/P8.jpg,4,{'16': 1},False,N/A
323751392,twinflames-y2k-cargo-pants-white-nylon,ONSALE,False,55.00,USD,5.00,https://media-photos.depop.com/b1/2097704/1388198599_8f574e08157d484694a92182fbb859cf/P2.jpg,https://media-photos.depop.com/b1/2097704/1388198599_8f574e08157d484694a92182fbb859cf/P4.jpg,https://media-photos.depop.com/b1/2097704/1388198599_8f574e08157d484694a92182fbb859cf/P5.jpg,https://media-photos.depop.com/b1/2097704/1388198599_8f574e08157d484694a92182fbb859cf/P6.jpg,https://media-photos.depop.com/b1/2097704/1388198599_8f574e08157d484694a92182fbb859cf/P1.jpg,https://media-photos.depop.com/b1/2097704/1388198599_8f574e08157d484694a92182fbb859cf/P7.jpg,https://media-photos.depop.com/b1/2097704/1388198599_8f574e08157d484694a92182fbb859cf/P8.jpg,22,{'30': 1},False,N/A
323725936,charlenesummer-a2-by-aero-soles-platform,ONSALE,False,19.00,USD,7.45,https://media-photos.depop.com/b1/10192713/1388557974_d84e04f156aa4f7d9d6d6bb6f059b3bc/P2.jpg,https://media-photos.depop.com/b1/10192713/1388557974_d84e04f156aa4f7d9d6d6bb6f059b3bc/P4.jpg,https://media-photos.depop.com/b1/10192713/1388557974_d84e04f156aa4f7d9d6d6bb6f059b3bc/P5.jpg,https://media-photos.depop.com/b1/10192713/1388557974_d84e04f156aa4f7d9d6d6bb6f059b3bc/P6.jpg,https://media-photos.depop.com/b1/10192713/1388557974_d84e04f156aa4f7d9d6d6bb6f059b3bc/P1.jpg,https://media-photos.depop.com/b1/10192713/1388557974_d84e04f156aa4f7d9d6d6bb6f059b3bc/P7.jpg,https://media-photos.depop.com/b1/10192713/1388557974_d84e04f156aa4f7d9d6d6bb6f059b3bc/P8.jpg,46,{'6': 1},False,N/A
323334565,sarenzocloset-vintage-vanity-fair-tan-floral-535c,ONSALE,False,22.00,USD,5.00,https://media-photos.depop.com/b1/13231531/1387050173_57863b99c27847f7972893a06eab28ed/P2.jpg,https://media-photos.depop.com/b1/13231531/1387050173_57863b99c27847f7972893a06eab28ed/P4.jpg,https://media-photos.depop.com/b1/13231531/1387050173_57863b99c27847f7972893a06eab28ed/P5.jpg,https://media-photos.depop.com/b1/13231531/1387050173_57863b99c27847f7972893a06eab28ed/P6.jpg,https://media-photos.depop.com/b1/13231531/1387050173_57863b99c27847f7972893a06eab28ed/P1.jpg,https://media-photos.depop.com/b1/13231531/1387050173_57863b99c27847f7972893a06eab28ed/P7.jpg,https://media-photos.depop.com/b1/13231531/1387050173_57863b99c27847f7972893a06eab28ed/P8.jpg,30,{'58': 1},False,1069
323202057,junkinthetrunk2-new-with-tags-womens-burgundy,ONSALE,False,12.00,USD,7.45,https://media-photos.depop.com/b1/27389450/1386536557_32e94fb626464eb4bf485cdf5518153f/P2.jpg,https://media-photos.depop.com/b1/27389450/1386536557_32e94fb626464eb4bf485cdf5518153f/P4.jpg,https://media-photos.depop.com/b1/27389450/1386536557_32e94fb626464eb4bf485cdf5518153f/P5.jpg,https://media-photos.depop.com/b1/27389450/1386536557_32e94fb626464eb4bf485cdf5518153f/P6.jpg,https://media-photos.depop.com/b1/27389450/1386536557_32e94fb626464eb4bf485cdf5518153f/P1.jpg,https://media-photos.depop.com/b1/27389450/1386536557_32e94fb626464eb4bf485cdf5518153f/P7.jpg,https://media-photos.depop.com/b1/27389450/1386536557_32e94fb626464eb4bf485cdf5518153f/P8.jpg,4,{'18': 1},False,1667
323086926,paisbelle-asics-womens-sleeveless-active-wear,ONSALE,False,17.00,USD,4.45,https://media-photos.depop.com/b1/18585889/1386092832_6a677cdcfd82439a87f1360b7b2b4d0e/P2.jpg,https://media-photos.depop.com/b1/18585889/1386092832_6a677cdcfd82439a87f1360b7b2b4d0e/P4.jpg,https://media-photos.depop.com/b1/18585889/1386092832_6a677cdcfd82439a87f1360b7b2b4d0e/P5.jpg,https://media-photos.depop.com/b1/18585889/1386092832_6a677cdcfd82439a87f1360b7b2b4d0e/P6.jpg,https://media-photos.depop.com/b1/18585889/1386092832_6a677cdcfd82439a87f1360b7b2b4d0e/P1.jpg,https://media-photos.depop.com/b1/18585889/1386092832_6a677cdcfd82439a87f1360b7b2b4d0e/P7.jpg,https://media-photos.depop.com/b1/18585889/1386092832_6a677cdcfd82439a87f1360b7b2b4d0e/P8.jpg,4,{'16': 1},False,50
323074315,solsticethrift-raleigh-denim-jeans-work-white,ONSALE,False,200.00,USD,10.00,https://media-photos.depop.com/b1/23660353/1386045773_a4d74bc08e8e4acc8598e3c76a177048/P2.jpg,https://media-photos.depop.com/b1/23660353/1386045773_a4d74bc08e8e4acc8598e3c76a177048/P4.jpg,https://media-photos.depop.com/b1/23660353/1386045773_a4d74bc08e8e4acc8598e3c76a177048/P5.jpg,https://media-photos.depop.com/b1/23660353/1386045773_a4d74bc08e8e4acc8598e3c76a177048/P6.jpg,https://media-photos.depop.com/b1/23660353/1386045773_a4d74bc08e8e4acc8598e3c76a177048/P1.jpg,https://media-photos.depop.com/b1/23660353/1386045773_a4d74bc08e8e4acc8598e3c76a177048/P7.jpg,https://media-photos.depop.com/b1/23660353/1386045773_a4d74bc08e8e4acc8598e3c76a177048/P8.jpg,60,{'14': 1},False,N/A
321433767,austinnewton-true-religion-sara-cigarette-cropped,ONSALE,False,45.00,USD,7.45,https://media-photos.depop.com/b0/29020690/1320285230_7c419622d5044121bf15a35983a5022b/P2.jpg,https://media-photos.depop.com/b0/29020690/1320285230_7c419622d5044121bf15a35983a5022b/P4.jpg,https://media-photos.depop.com/b0/29020690/1320285230_7c419622d5044121bf15a35983a5022b/P5.jpg,https://media-photos.depop.com/b0/29020690/1320285230_7c419622d5044121bf15a35983a5022b/P6.jpg,https://media-photos.depop.com/b0/29020690/1320285230_7c419622d5044121bf15a35983a5022b/P1.jpg,https://media-photos.depop.com/b0/29020690/1320285230_7c419622d5044121bf15a35983a5022b/P7.jpg,https://media-photos.depop.com/b0/29020690/1320285230_7c419622d5044121bf15a35983a5022b/P8.jpg,22,{'21': 1},False,9
320993278,monie414-preowned-kenneth-cole-green-puffer,ONSALE,False,60.00,USD,12.40,https://media-photos.depop.com/b0/30460864/1318606819_4a8f43479f5e40e8b30116ab3fb19902/P2.jpg,https://media-photos.depop.com/b0/30460864/1318606819_4a8f43479f5e40e8b30116ab3fb19902/P4.jpg,https://media-photos.depop.com/b0/30460864/1318606819_4a8f43479f5e40e8b30116ab3fb19902/P5.jpg,https://media-photos.depop.com/b0/30460864/1318606819_4a8f43479f5e40e8b30116ab3fb19902/P6.jpg,https://media-photos.depop.com/b0/30460864/1318606819_4a8f43479f5e40e8b30116ab3fb19902/P1.jpg,https://media-photos.depop.com/b0/30460864/1318606819_4a8f43479f5e40e8b30116ab3fb19902/P7.jpg,https://media-photos.depop.com/b0/30460864/1318606819_4a8f43479f5e40e8b30116ab3fb19902/P8.jpg,38,{'20': 1},False,541
